
   INFO  Server running on [http://127.0.0.1:8002].  

  Press Ctrl+C to stop the server

  2026-05-19 08:46:46 /api/properties .......................................................................... ~ 1s
  2026-05-19 08:47:11 /api/health .......................................................................... ~ 1.18ms
  2026-05-19 08:47:11 /api/properties .................................................................... ~ 505.92ms
  2026-05-19 08:47:20 /api/health .......................................................................... ~ 1.11ms
  2026-05-19 08:47:20 /api/properties ...................................................................... ~ 0.32ms
  2026-05-19 08:47:43 / .................................................................................. ~ 508.50ms
  2026-05-19 08:47:44 /favicon.ico ......................................................................... ~ 0.22ms
  2026-05-19 08:48:06 /api/properties ...................................................................... ~ 0.50ms
  2026-05-19 08:48:53 /api/properties ...................................................................... ~ 0.66ms
  2026-05-19 08:49:51 /api/properties ...................................................................... ~ 0.28ms
  2026-05-19 08:49:51 /api/properties .......................................................................... ~ 1s
  2026-05-19 08:53:23 /api/properties .................................................................... ~ 508.97ms
  2026-05-19 08:53:23 /api/properties .......................................................................... ~ 1s
  2026-05-19 08:53:24 /api/properties .................................................................... ~ 516.27ms
  2026-05-19 08:53:24 /api/properties .................................................................... ~ 515.53ms
  2026-05-19 08:57:35 /api/properties ...................................................................... ~ 0.70ms
  2026-05-19 08:57:35 /api/dashboard ..................................................................... ~ 503.22ms
  2026-05-19 08:57:35 /api/references .................................................................... ~ 504.29ms
  2026-05-19 08:57:55 /api/properties/1/tax-declarations ................................................. ~ 504.05ms
  2026-05-19 08:58:07 /api/properties/1/tax-declarations ................................................. ~ 505.81ms
  2026-05-19 08:58:26 /api/properties/1/tax-declarations ................................................... ~ 0.29ms
  2026-05-19 08:58:43 /api/properties/1/tax-declarations ................................................. ~ 508.77ms
  2026-05-19 08:58:54 /api/properties/1/documents ........................................................ ~ 509.57ms
  2026-05-19 08:59:08 /api/properties/1/tax-declarations ................................................... ~ 0.57ms
  2026-05-19 08:59:28 /api/dashboard ....................................................................... ~ 0.68ms
  2026-05-19 08:59:28 /api/properties .................................................................... ~ 507.27ms
  2026-05-19 08:59:43 /api/dashboard ..................................................................... ~ 516.10ms
  2026-05-19 08:59:43 /api/properties .................................................................... ~ 516.99ms
  2026-05-19 09:05:15 /api/properties .................................................................... ~ 509.26ms
  2026-05-19 09:05:15 /api/dashboard ..................................................................... ~ 510.22ms
  2026-05-19 09:07:08 /api/properties .................................................................... ~ 504.03ms
  2026-05-19 09:07:08 /api/dashboard ....................................................................... ~ 0.21ms
  2026-05-19 09:08:17 /api/references ...................................................................... ~ 0.36ms
  2026-05-19 09:08:17 /api/references ...................................................................... ~ 0.16ms
